# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	Map\Gimmick!(J)-Level7_bank.png	255	0	0
10	textures\gimmick_right.png	0	0	255
20	textures\gimmick_left.png	0	0	255
30	textures\stage1.png	215	121	214
40	textures\NES - Gimmick Mr Gimmick - Intro.png	200	205	250
41	textures\INTRO_GATE.png	255	174	201
50	textures\Hazards and Interactables.png	203	102	185
51	textures\Enemies.png	57	189	255
52	textures\Enemies_flip.png	57	189	255
53	textures\swing.png	203	102	185
55	textures\Enemies_upsidedown.png	57	189	255
56	textures\Enemies_upsidedown_flip.png	57	189	255
60	Map\Gimmick!(J)-Level1_bank.png	60	188	252
70	textures\HUD.png	0	36	255
801	textures\hud.png	255	255	0
80	textures\star.png	0	0	255
90	textures\door.png	203	102	185
95	textures\NES - Gimmick Mr Gimmick - Bosses.png	0	0	255
99	textures\stage1.png	0	0	0
400	textures\EnemyBoom.png	57	189	255
410	textures\stage7.png	253	77	255
420	textures\EnemyTail.png	57	189	255
778	textures\map2.png	0	0	0

177	textures\bird_L.png	54	190	252
178	textures\bird_R.png	60	188	252
179	textures\bird_Die_L.png	60	188	252
176	textures\bird_Die_R.png	54	190	252
1000	textures\map7stage.png	0	0	0
[MAP]
# TotalRowsOfMap	TotalColumnsOfMap	TotalRowsOfTileSet		TotalColumnsOfTileSet	TileSetID	MapMatrixPath
48	128	23	11	0	Map\Gimmick!(J)-Level7_map.txt
48	128	23	11	0	Map\Gimmick!(J)-Level7_map.txt
48	128	23	11	0	Map\Gimmick!(J)-Level7_map.txt
48	128	23	11	0	Map\Gimmick!(J)-Level7_map.txt
[ZONES]
0	192	1536	0	48	66
1536	192	2048	0	1552	66
1792	384	2048	192	1936	290
1536	384	1792	192	1936	290
1280	384	1536	192	1936	290
1024	384	1280	192	1936	290
768	384	1024	192	990	322
0	576	1024	384	944	434
0	768	1536	576	16	610
1536	768	1792	576	1600	626
1792	768	2048	576	1600	626

[SOUNDS]
#Audio/01_Good-Morning.wav	SOUND_Stage1_Background
#Audio/Sound Effect (1).wav	SOUND_Effect_1

# id	left	top	right	bottom	texture_id
[SPRITES]
# GIMMICK
# idle right					
20101	2	2	18	21	10
20102	22	2	38	21	10
# idle left					
20151	399	2	415	21	20
20152	379	2	395	21	20
# walk right					
20201	2	24	18	43	10
20202	21	24	37	43	10
20203	39	24	55	43	10
20204	58	24	74	43	10
20205	79	24	95	43	10
20206	99	24	115	43	10
# walk left					
20251	399	24	415	43	20
20252	380	24	396	43	20
20253	362	24	378	43	20
20254	343	24	359	43	20
20255	322	24	338	43	20
20256	302	24	318	43	20
# jump right					
20301	2	46	18	70	10
# jump left					
20351	399	46	415	70	20
# stun right
20401	0	72	22	97	10
20402	22	72	44	97	10
20403	43	72	65	97	10
20404	66	72	88	97	10
20405	95	72	117	97	10
20406	121	72	143	97	10
20407	148	72	170	97	10
20408	171	72	193	97	10
20409	198	72	220	97	10
20410	219	72	241	97	10
20411	239	72	261	97	10
# stun left
20451	395	72	417	97	20
20452	373	72	395	97	20
20453	352	72	374	97	20
20454	329	72	351	97	20
20455	300	72	322	97	20
20456	274	72	296	97	20
20457	247	72	269	97	20
20458	224	72	246	97	20
20459	197	72	219	97	20
20460	176	72	198	97	20
20461	156	72	178	97	20
# in sewer left
29999	381	50	395	66	20
# in sewer right
29998	22	50	36	66	10
#COLWHEELSMALL
30001	69	205	85	221	30
30002	69	222	85	238	30
30003	69	239	85	255	30
30004	69	256	85	272	30

# COLWHEEL
# TopRight
40001	18	205	34	221	30
40002	52	205	68	221	30
40003	18	239	34	255	30
40004	52	239	68	255	30
# BotRight
40011	18	222	34	238	30
40012	52	222	68	238	30
40013	 18	256	34	272	30
40014	52	256	68	272	30
# BotLeft
40021	1	222	17	238	30
40022	35	222	51	238	30
40023	1	256	17	272	30
40024	35	256	51	272	30
# TopLeft
40031	1	205	17	221	30
40032	35	205	51	221	30
40033	1	239	17	255	30
40034	35	239	51	255	30

# CHAIN
# TopRight					
50001	1	290	17	306	30
50002	18	290	34	306	30
50003	35	290	51	306	30
50004	52	290	68	306	30
# BotRight				
50011	1	307	17	323	30
50012	18	307	34	323	30
50013	35	307	51	323	30
50014	52	307	68	323	30
# BotLeft					
50021	1	324	17	340	30
50022	18	324	34	340	30
50023	35	324	51	340	30
50024	52	324	68	340	30
# TopLeft					
50031	1	273	17	289	30
50032	18	273	34	289	30
50033	35	273	51	289	30
50034	52	273	68	289	30
# Down					
50041	1	341	17	357	30
50042	18	341	34	357	30
50043	35	341	51	357	30
50044	52	341	68	357	30
#Up					
50051	1	358	17	374	30
50052	18	358	34	374	30
50053	35	358	51	374	30
50054	52	358	68	374	30

# BLUEFIRE
60001	103	154	119	170	30
60002	120	154	136	170	30
60003	137	154	153	170	30
60004	154	154	170	170	30

# CONVEYOR
# right
80001	1	171	17	187	30
80002	18	171	34	187	30
80003	35	171	51	187	30
80004	52	171	68	187	30

# left
80011	1	188	17	204	30
80012	18	188	34	204	30
80013	35	188	51	204	30
80014	52	188	68	204	30

# TUBE
90001	69	290	85	306	30
90002	69	307	85	323	30
90003	86	290	102	306	30
90004	86	307	102	323	30
90005	137	290	153	306	30
90006	137	307	153	323	30
90007	86	171	102	187	30
90008	86	188	102	204	30
90009	69	171	85	187	30
90010	69	188	85	204	30

# WINDOW
100001	103	290	119	306	30
100002	120	290	136	306	30
100003	103	307	119	323	30
100004	120	307	136	323	30

# BOOM
110001	2	1	16	19	50
110002	19	1	33	19	50
110003	36	1	50	19	50
110004	53	1	67	19	50
110005	69	1	83	19	50

# BOOM EXPLODE
110006	78	142	94	158	20
110007	61	142	77	158	20
110008	42	142	58	158	20
110009	23	142	39	158	20
110010	8	142	24	158	20

#WORM
# walk right
120001	2	314	25	328	51
120002	27	314	49	328	51
# walk left
120010	671	314	694	328	52
120011	647	314	669	328	52

#BLACK ENEMY
#walk right
13001	2	1	18	17	51
13002	20	2	36	17	51
13003	38	1	54	17	51
#walk left
13004	678	1	694	17	52
13005	660	2	676	17	52
13006	642	1	658	17	52
#fly right
13007	2	19	18	36	51
13008	20	19	36	36	51
13009	38	19	54	36	51
13010	56	19	72	36	51
13011	74	19	90	36	51
#fly left
13012	678	19	694	36	52
13013	660	19	676	36	52
13014	642	19	658	36	52
13015	624	19	640	36	52
13016	606	19	622	36	52
#fly on brick right
13017	111	18	127	36	51
13018	195	19	211	36	51
13019	281	18	297	36	51
13020	310	18	326	36	51
13021	396	19	412	36	51
13022	147	18	163	36	51
#fly on brick left
13030	569	18	585	36	52
13031	485	19	501	36	52
13032	399	18	415	36	52
13033	370	18	386	36	52
13034	284	19	300	36	52
13035	533	18	549	36	52
# die left
13036	20	865	36	878	55
#die right
13037	660	865	676	878	56

# GIMMICK DIE EFFECT
140001	0	243	16	259	10
140002	17	243	33	259	10
140003	34	243	50	259	10
140004	53	243	69	259	10

# SWING STAND / MOVE
150001	26	23	64	91	53
150002	68	23	106	91	53
150003	110	23	148	91	53
150004	152	23	190	91	53

# SWING OPEN
150005	209	23	247	99	53
150006	251	23	289	101	53

#BRICK PINK
160000	81	48	113	64	60

# MEDICINE TYPE ORANGE
170001	17	0	31	16	70
# MEDICINE TYPE PINK
170002	1	2	15	16	70
# MEDICINE TYPE 3
170003	33	1	47	16	70
# MEDICINE TYPE 4
170004	49	1	63	16	70


#hud

#background
300001	0	141	256	176	801

#hien thi so
300010	7	121	15	129	801
300011	15	121	23	129	801
